2024-09-09 19:16:53 PM: {"ID":3,"CreatedAt":"2024-09-09T19:16:53.627641802-03:00","UpdatedAt":"2024-09-09T19:16:53.627641802-03:00","DeletedAt":null,"code":"2312","name":"tales","price":20,"description":"Tales lindo demais"}
2024-09-09 19:55:44 PM: {"ID":4,"CreatedAt":"2024-09-09T19:55:44.441163745-03:00","UpdatedAt":"2024-09-09T19:55:44.441163745-03:00","DeletedAt":null,"code":"31231234","name":"novo produto","price":22,"description":"produto de qualdiade alta"}
2024-09-10 14:50:47 PM: {"ID":5,"CreatedAt":"2024-09-10T14:44:00.899540524-03:00","UpdatedAt":"2024-09-10T14:44:00.899540524-03:00","DeletedAt":null,"code":"31231","name":"novo produto","price":22,"description":"produto de qualdiade alta"}
2024-09-10 14:55:23 PM: {"ID":6,"CreatedAt":"2024-09-10T14:52:44.84657897-03:00","UpdatedAt":"2024-09-10T14:52:44.84657897-03:00","DeletedAt":null,"code":"23123","name":"novo produto","price":22,"description":"produto de qualdiade alta"}
2024-09-10 14:55:23 PM: {"ID":7,"CreatedAt":"2024-09-10T14:53:48.430008435-03:00","UpdatedAt":"2024-09-10T14:53:48.430008435-03:00","DeletedAt":null,"code":"213123123","name":"novo produto","price":22,"description":"produto de qualdiade alta"}
2024-09-10 14:55:23 PM: {"ID":8,"CreatedAt":"2024-09-10T14:54:27.075292185-03:00","UpdatedAt":"2024-09-10T14:54:27.075292185-03:00","DeletedAt":null,"code":"o1dasd","name":"novo produto","price":22,"description":"produto de qualdiade alta"}
2024-09-10 14:55:23 PM: {"ID":9,"CreatedAt":"2024-09-10T14:55:23.33045637-03:00","UpdatedAt":"2024-09-10T14:55:23.33045637-03:00","DeletedAt":null,"code":"sdasd12","name":"novo produto","price":22,"description":"produto de qualdiade alta"}
2024-09-10 15:09:53 PM: {"ID":10,"CreatedAt":"2024-09-10T15:09:30.132812507-03:00","UpdatedAt":"2024-09-10T15:09:30.132812507-03:00","DeletedAt":null,"code":"asdasd","name":"novo produto","price":22,"description":"produto de qualdiade alta"}
2024-09-10 15:10:18 PM: {"ID":11,"CreatedAt":"2024-09-10T15:10:18.173333346-03:00","UpdatedAt":"2024-09-10T15:10:18.173333346-03:00","DeletedAt":null,"code":"asdsadasd","name":"novo produto","price":22,"description":"produto de qualdiade alta"}
2024-09-10 15:11:02 PM: {"ID":12,"CreatedAt":"2024-09-10T15:11:02.435939205-03:00","UpdatedAt":"2024-09-10T15:11:02.435939205-03:00","DeletedAt":null,"code":"123jahd","name":"dexter loko produto","price":22,"description":"produto de qualdiade alta"}
2024-09-10 19:01:17 PM: {"ID":13,"CreatedAt":"2024-09-10T19:01:17.519880557-03:00","UpdatedAt":"2024-09-10T19:01:17.519880557-03:00","DeletedAt":null,"code":"sadasdasdasd","name":"dexter loko produto","price":22,"description":"produto de qualdiade alta"}
